city_id,pm25,number,area,pop,mainsample
1405,0.29747143387794495,5.0,51.0,42.0,0.0
1406,0.18323610723018646,5.0,66.6000000000001,60.0,0.0
1407,0.2964578866958618,4.0,51.0,45.09000000000006,0.0
1408,0.49517911672592163,5.0,55.0,64.0,0.0
1409,0.18906880915164948,3.0,32.0,22.650000000000038,0.0
1411,0.220541849732399,3.0,22.5,25.5,0.0
1503,0.11386056989431381,3.0,56.0,44.0,0.0
1505,0.2685546875,3.0,75.6300000000001,46.449999999999925,0.0
1507,0.15758495032787323,2.0,47.959999084472656,26.80000000000001,0.0
1508,0.1676131635904312,2.0,38.0,31.0,0.0
1509,0.1370183676481247,2.0,48.0,28.480000000000015,0.0
1522,0.15686151385307312,3.0,38.5,26.34999999999995,0.0
1525,0.15430393815040588,2.0,41.0,15.25,0.0
1529,0.15415191650390625,2.0,43.0,18.960000000000022,0.0
2109,0.30697309970855713,5.0,77.0,77.89999999999988,0.0
2110,0.424293577671051,4.0,104.0,75.07999999999994,0.0
2112,0.36640840768814087,4.0,53.0,40.2600000000001,0.0
2113,0.24797654151916504,4.0,57.0,56.0,0.0
2203,0.36306992173194885,3.0,53.81000000000005,60.569999999999965,0.0
2204,0.31791189312934875,2.0,46.329999999999956,49.0,0.0
2205,0.2625430226325989,2.0,48.82000000000002,44.15999999999994,0.0
2206,0.20597398281097412,2.0,38.0,38.0100000000001,0.0
2207,0.32985568046569824,2.0,46.71000000000003,45.13000000000008,0.0
2208,0.2828969955444336,2.0,42.13000000000008,28.260000000000048,0.0
2224,0.2209453284740448,3.0,41.0,41.0,0.0
2303,0.2667044997215271,3.0,79.2299999999998,71.57999999999994,0.0
2304,0.22881528735160828,3.0,50.71999999999997,57.5200000000001,0.0
2305,0.2657216787338257,3.0,58.800000000000104,46.0,0.0
2307,0.18896272778511047,2.0,165.0,75.68999999999986,0.0
2308,0.274892657995224,4.0,98.07999999999994,60.0,0.0
2309,0.24841716885566711,2.0,67.77000000000015,36.599999999999945,0.0
2311,0.17449800670146942,2.0,20.0,13.640000000000013,0.0
2312,0.2719031572341919,2.0,33.0,31.0,0.0
2327,0.16441677510738373,2.0,10.0,16.58999999999998,0.0
3403,0.635982096195221,6.0,114.5,78.94999999999987,0.0
3404,0.6575573086738586,5.0,102.0,106.04999999999995,0.0
3406,0.6620725989341736,3.0,79.5,82.69999999999987,0.0
3407,0.6037261486053467,6.0,63.5,38.340000000000046,0.0
3408,0.48943498730659485,3.0,81.0,62.0,0.0
3410,0.3438225984573364,3.0,42.0,31.429999999999964,0.0
3411,0.604956328868866,3.0,77.48999999999985,34.23000000000001,0.0
3412,0.6369150876998901,3.0,90.42000000000006,73.06999999999992,0.0
3413,0.6623575687408447,3.0,67.0,44.670000000000044,0.0
3415,0.522153913974762,4.0,67.5,37.150000000000055,0.0
3416,0.631406307220459,2.0,42.550000000000075,30.400000000000052,0.0
3417,0.4698730707168579,2.0,36.92999999999994,27.09999999999995,0.0
3418,0.447300523519516,3.0,38.0,20.769999999999985,0.0
3503,0.32096537947654724,4.0,55.0,47.59999999999997,0.0
3504,0.28755688667297363,3.0,33.079999999999956,20.79999999999997,0.0
3506,0.31248238682746887,2.0,56.439999999999934,38.639999999999965,0.0
3507,0.2939281463623047,3.0,30.19999999999997,19.36999999999995,0.0
3508,0.27138397097587585,3.0,42.0,30.090000000000018,0.0
3509,0.2500043511390686,2.0,25.3,18.029999999999976,0.0
3602,0.4547092318534851,4.0,75.39000000000011,46.59000000000006,0.0
3603,0.44543489813804626,4.0,59.0,39.76999999999999,0.0
3605,0.5553532838821411,4.0,70.0,44.40999999999994,0.0
3606,0.4806113839149475,4.0,32.0,20.0,0.0
3607,0.38807353377342224,4.0,89.02000000000021,51.88000000000008,0.0
3608,0.45062848925590515,4.0,62.0,31.69999999999996,0.0
3609,0.47953712940216064,4.0,60.0,41.88999999999996,0.0
3610,0.42167234420776367,4.0,55.0,51.03999999999997,0.0
3611,0.44411173462867737,3.0,31.0,37.94999999999994,0.0
4106,0.6361145377159119,3.0,60.819999999999965,43.5,0.0
4107,0.6454699635505676,4.0,110.0,75.69999999999989,0.0
4109,0.7098299264907837,4.0,51.0,42.09999999999994,0.0
4110,0.6375137567520142,3.0,80.0,41.57000000000007,0.0
4111,0.6700263023376465,4.0,60.0,55.27000000000009,0.0
4113,0.48237091302871704,5.0,147.42000000000004,117.89999999999979,0.0
4114,0.6838071346282959,4.0,62.0,96.30000000000003,0.0
4115,0.5811009407043457,4.0,77.19999999999987,45.800000000000075,0.0
4116,0.6743212938308716,4.0,60.0,28.40000000000005,0.0
4117,0.6193439364433289,3.0,65.0,42.84000000000006,0.0
4202,0.5611688494682312,5.0,72.5,71.80000000000011,0.0
4203,0.29349324107170105,3.0,65.6000000000001,47.0,0.0
4206,0.49034443497657776,4.0,116.0,108.0,0.0
4207,0.6638312935829163,3.0,47.0,40.110000000000035,0.0
4208,0.6075127720832825,4.0,53.189998626708984,40.46999999999992,0.0
4209,0.6250166893005371,2.0,37.30000000000006,38.0,0.0
4211,0.49030742049217224,2.0,32.01999999999999,28.09999999999995,0.0
4212,0.4744229316711426,3.0,63.78999999999997,31.070000000000036,0.0
4213,0.5066869258880615,3.0,36.0,36.69999999999994,0.0
4228,0.27982673048973083,2.0,31.5,22.44000000000004,0.0
4304,0.5386587381362915,5.0,158.0,101.2,0.0
4305,0.43123313784599304,4.0,54.0,69.1000000000001,0.0
4309,0.5452911257743835,4.0,65.0,57.100000000000044,0.0
