city_id,year,month,light
1101,2010.0,1.0,
1101,2010.0,2.0,
1101,2010.0,3.0,
1101,2010.0,4.0,
1101,2010.0,5.0,
1101,2010.0,6.0,
1101,2010.0,7.0,
1101,2010.0,8.0,
1101,2010.0,9.0,
1101,2010.0,10.0,
1101,2010.0,11.0,
1101,2010.0,12.0,
1101,2011.0,1.0,
1101,2011.0,2.0,
1101,2011.0,3.0,
1101,2011.0,4.0,
1101,2011.0,5.0,
1101,2011.0,6.0,
1101,2011.0,7.0,
1101,2011.0,8.0,
1101,2011.0,9.0,
1101,2011.0,10.0,
1101,2011.0,11.0,
1101,2011.0,12.0,
1101,2012.0,1.0,
1101,2012.0,2.0,
1101,2012.0,3.0,
1101,2012.0,4.0,3.3995004274957306
1101,2012.0,5.0,
1101,2012.0,6.0,
1101,2012.0,7.0,
1101,2012.0,8.0,3.5266687830664947
1101,2012.0,9.0,3.8228742456993365
1101,2012.0,10.0,3.460875011560388
1101,2012.0,11.0,3.9704003156447083
1101,2012.0,12.0,4.489659874010117
1101,2013.0,1.0,3.7726859769706125
1101,2013.0,2.0,4.043448402167123
1101,2013.0,3.0,3.4668641423014606
1101,2013.0,4.0,4.190363576909404
1101,2013.0,5.0,2.577142120815909
1101,2013.0,6.0,
1101,2013.0,7.0,
1101,2013.0,8.0,3.5841666251495727
1101,2013.0,9.0,3.7124198460248707
1101,2013.0,10.0,3.8542207065352017
1101,2013.0,11.0,4.528618177712668
1101,2013.0,12.0,4.59829558452341
1101,2014.0,1.0,3.8454322270821906
1101,2014.0,2.0,2.924689173921562
1101,2014.0,3.0,3.939915879341484
1101,2014.0,4.0,3.983183753242254
1101,2014.0,5.0,3.034439180119075
1101,2014.0,6.0,
1101,2014.0,7.0,
1101,2014.0,8.0,4.092633848065056
1101,2014.0,9.0,3.9371525245820895
1101,2014.0,10.0,4.050016227707781
1101,2014.0,11.0,4.135348038972495
1101,2014.0,12.0,4.7647312444326735
1101,2015.0,1.0,4.020952826536472
1101,2015.0,2.0,4.146591639544057
1101,2015.0,3.0,4.307221558630512
1101,2015.0,4.0,4.668084308005202
1101,2015.0,5.0,
1101,2015.0,6.0,
1101,2015.0,7.0,
1101,2015.0,8.0,3.8755177185363374
1101,2015.0,9.0,4.195215038100343
1101,2015.0,10.0,4.178938311861326
1101,2015.0,11.0,2.8562487496605953
1101,2015.0,12.0,4.069897924628017
1101,2016.0,1.0,4.627019510809983
1101,2016.0,2.0,4.70406956613836
1101,2016.0,3.0,4.2802096079754826
1101,2016.0,4.0,4.512695377285005
1101,2016.0,5.0,8.206966480958394
1101,2016.0,6.0,
1101,2016.0,7.0,
1101,2016.0,8.0,4.490959106394967
1101,2016.0,9.0,4.078558198909983
1101,2016.0,10.0,4.317894680148933
1101,2016.0,11.0,4.590252704858405
1101,2016.0,12.0,4.18927626036132
1101,2017.0,1.0,4.255593357245074
1101,2017.0,2.0,4.860246981243843
1101,2017.0,3.0,4.451026872940821
1101,2017.0,4.0,5.197608059580046
1101,2017.0,5.0,4.373572687422624
1101,2017.0,6.0,
1101,2017.0,7.0,
1101,2017.0,8.0,4.230988314536501
1101,2017.0,9.0,4.835802727005989
1101,2017.0,10.0,4.490118434943792
1101,2017.0,11.0,5.024010044900427
1101,2017.0,12.0,5.062896866039759
1201,2010.0,1.0,
1201,2010.0,2.0,
1201,2010.0,3.0,
1201,2010.0,4.0,
