city_id,city_cn,number,background,incentive1,incentive2,area,pop,pred_number1,pred_number2,number_iv,env_lon,env_lat,centroid_lon,centroid_lat,cen_lat,cen_lon,disttocoast,GDP,year,month,pm25,pm_indirect,pm_direct,pre,tem_mean,age,age_year,light,pred,tem_meand,quarter,time,any_air,post1,pm
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,4.0,0.33167198,0.30222324,0.34835958,15.299999475479126,14.7,50.0,48.0,,0.0,14.0,2.0,6.0,0.0,0.0,0.3964567
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,5.0,0.50270146,0.42125985,0.5488517,46.59999990463257,18.948387,50.0,48.0,,2.0,18.0,2.0,6.0,0.0,0.0,0.48897636
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,6.0,0.5402915,0.5064845,0.55944884,25.19999984651804,24.483334,50.0,48.0,,1.0,24.0,2.0,6.0,0.0,0.0,0.52992123
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,7.0,0.35724157,0.32520843,0.3753937,154.10000459104776,24.625807,50.0,48.0,,7.0,24.0,3.0,7.0,1.0,0.0,0.5267716
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,8.0,0.87678003,0.7520264,0.94747376,119.20000169426203,22.258064,50.0,48.0,,5.0,22.0,3.0,7.0,1.0,0.0,1.0
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,9.0,0.47914225,0.4304655,0.5067257,217.4000008702278,16.73,50.0,48.0,,10.0,16.0,3.0,7.0,1.0,0.0,0.6062992
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,10.0,0.2693081,0.22180408,0.29622704,54.59999978542328,12.587097,50.0,48.0,,2.0,12.0,4.0,8.0,0.0,0.0,0.36417323
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,11.0,0.10970705,0.09180562,0.124967195,67.10000038146973,7.5,50.0,48.0,,3.0,7.0,4.0,8.0,0.0,0.0,0.1480315
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2011.0,12.0,0.18326385,0.26278096,0.28642848,1.5,-0.41935483,50.0,48.0,,0.0,0.0,4.0,8.0,0.0,0.0,0.1956693
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2012.0,1.0,0.25972673,0.26759222,0.31209078,3.999999977648258,-3.1032257,50.0,49.0,,0.0,-3.0,1.0,9.0,1.0,0.0,0.46614173
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2012.0,2.0,0.21196155,0.22093868,0.25496837,0.20000000298023224,-0.36896554,50.0,49.0,,0.0,0.0,1.0,9.0,1.0,0.0,0.35629922
1405.0,晋城,5.0,1.0,0.0,20.0,51.0,42.0,4.0,2.0,4.0,112.84126124783164,35.49035163926217,112.74298060861244,35.61168198755979,35.490701,112.851831,539183.56,50243.0,2012.0,3.0,0.26579037,0.2534087,0.27280185,25.900000229477882,5.5741935,50.0,49.0,,1.0,5.0,1.0,9.0,1.0,0.0,0.3023622
