city_id,background,monitor_id,compare
1405,1.0,2162A,0
1406,0.0,2170A,0
1407,0.0,2171A,0
1408,0.0,2176A,0
1409,0.0,2180A,0
1411,0.0,2184A,0
1503,0.0,2187A,0
1505,0.0,2190A,0
1507,0.0,2269A,0
1508,1.0,2196A,0
1509,0.0,2197A,0
1522,0.0,2199A,0
1525,0.0,2203A,0
1529,1.0,2204A,1
2109,0.0,2211A,0
2110,0.0,2212A,0
2112,0.0,2217A,0
2113,0.0,2220A,0
2203,0.0,2225A,0
2204,0.0,2228A,0
2205,0.0,2229A,0
2206,0.0,2231A,0
2207,0.0,2233A,0
2208,0.0,2236A,0
2224,0.0,2239A,0
2303,1.0,2243A,1
2304,1.0,2247A,1
2305,1.0,2251A,1
2307,1.0,2254A,1
2308,1.0,2255A,0
2309,1.0,2260A,0
2311,1.0,2263A,0
2312,0.0,2266A,0
3403,0.0,2275A,0
3404,1.0,2276A,0
3406,0.0,2282A,0
3407,0.0,2289A,0
3408,1.0,2293A,0
3410,0.0,2295A,0
3411,0.0,2299A,0
3412,0.0,2302A,0
3413,0.0,2304A,0
3415,0.0,2308A,0
3416,0.0,2311A,0
3417,1.0,2315A,1
3418,0.0,2316A,0
3503,1.0,2321A,0
3504,1.0,2327A,1
3506,1.0,2075A,1
3507,1.0,2332A,0
3508,1.0,2338A,0
3509,1.0,2340A,0
3602,1.0,2344A,0
3603,1.0,2347A,1
3605,1.0,2353A,0
3606,1.0,2361A,0
3607,1.0,2363A,0
3608,0.0,2368A,0
3609,1.0,2374A,0
3610,1.0,2380A,0
3611,1.0,2382A,0
4106,0.0,2387A,0
4107,0.0,2390A,0
4109,0.0,2394A,0
4110,0.0,2396A,0
4111,0.0,2402A,0
4113,0.0,2407A,0
4114,0.0,2411A,0
4115,0.0,2066A,0
4116,0.0,2070A,0
4117,0.0,2420A,0
4202,0.0,2424A,0
4203,1.0,2431A,0
4206,0.0,2433A,0
4207,0.0,2438A,0
4208,0.0,2439A,0
4209,0.0,2443A,0
4211,0.0,2446A,0
4212,1.0,2447A,1
4213,0.0,2451A,0
4228,0.0,2454A,0
4304,1.0,2460A,0
4305,1.0,2462A,1
4309,1.0,2470A,0
4310,1.0,2473A,0
4311,1.0,2477A,1
4312,1.0,2483A,0
4313,1.0,2489A,0
4331,1.0,2494A,0
4504,0.0,2495A,0
4506,0.0,2501A,0
4507,0.0,2504A,0
4508,1.0,2508A,0
4509,1.0,2510A,0
4510,0.0,2513A,0
4511,0.0,2515A,0
4512,1.0,2516A,1
4513,0.0,2519A,0
4514,0.0,2521A,0
5108,1.0,2523A,1
