id,city_id,lat,lon,city_cn,min_dist,starty,startm,revenue,employment,monitor_lon,monitor_lat,industry,prov_id,key,ownership
49.0,2309,45.773421,131.048903,七台河,3.611331433223542,2003,1,118035.0,374,131.0032,45.7677,3140,21.0,0.0,3.0
50.0,2309,45.814757,131.232783,七台河,18.601460476515978,2002,12,33017.0,369,131.0032,45.7677,610,21.0,0.0,3.0
51.0,2309,45.827537,130.88397,七台河,1.8977821109877206,2002,5,566764.0,1451,130.8625,45.8194,2520,21.0,1.0,3.0
52.0,2309,45.81026,131.217576,七台河,17.327487784184665,1999,5,365191.0,3635,131.0032,45.7677,610,21.0,0.0,3.0
53.0,2309,45.785134,131.069264,七台河,5.49135481293193,2005,12,38184.0,127,131.0032,45.7677,610,21.0,0.0,3.0
54.0,2309,45.8637087,131.0327822,七台河,10.916015525195192,2008,1,43622.0,163,131.0032,45.7677,1310,21.0,0.0,3.0
55.0,2309,45.791833,130.9359009,七台河,5.881158377072574,1998,4,38160.0,338,131.0032,45.7677,610,21.0,0.0,3.0
56.0,2309,45.7653573,131.0079943,七台河,0.45484580649098943,1958,2,1750436.0,165,131.0032,45.7677,610,21.0,1.0,1.0
57.0,2309,45.784201,131.029077,七台河,2.7229060339401454,2001,10,27322.0,197,131.0032,45.7677,4610,21.0,0.0,9.0
59.0,2309,45.778685,131.059596,七台河,4.553189007809698,2010,3,1048203.0,1101,131.0032,45.7677,2520,21.0,1.0,1.0
60.0,3506,24.58351,117.515411,漳州,16.183536776988,2010,11,2691589.0,259,117.6569,24.5157,3032,15.0,0.0,4.0
61.0,4115,32.151442,114.192703,信阳,9.635697958641233,2007,8,193551.0,653,114.1044,32.1078,2029,11.0,0.0,3.0
62.0,4203,32.619832,110.860216,十堰,5.81298965443949,1999,11,713572.0,42,110.8839,32.5714,3660,12.0,0.0,9.0
63.0,3605,27.830437,114.982365,新余,0.445095856064727,2006,5,1119406.0,222,114.9831,27.8344,3831,10.0,0.0,4.0
64.0,1508,41.0848171,107.069694,巴彦淖尔,46.16927074976803,1997,1,398734.0,502,107.3715,40.7378,912,2.0,0.0,2.0
65.0,3608,26.471088,114.746989,吉安,69.90668215495161,2007,12,169037.0,278,114.9817,27.0658,2923,10.0,0.0,9.0
66.0,3608,26.46415,114.7477,吉安,70.60861487440636,2012,3,22698.0,327,114.9817,27.0658,3913,10.0,0.0,9.0
67.0,3608,26.457513,114.71207,吉安,72.53763360390774,2012,11,23527.0,37,114.9817,27.0658,3972,10.0,0.0,3.0
68.0,3608,26.47671,114.775184,吉安,68.42635764801454,2000,6,140678.0,163,114.9817,27.0658,3011,10.0,1.0,3.0
69.0,3608,26.467003,114.746903,吉安,70.33644090247981,2005,3,179534.0,953,114.9817,27.0658,1810,10.0,0.0,4.0
70.0,3608,26.481247,114.766811,吉安,68.20322821061171,1998,2,193187.0,530,114.9817,27.0658,3099,10.0,0.0,4.0
71.0,3608,26.468874,114.778804,吉安,69.1492901827615,1994,3,22198.0,210,114.9817,27.0658,2312,10.0,0.0,2.0
72.0,3608,26.481244,114.766812,吉安,68.20351278246042,1993,1,179201.0,216,114.9817,27.0658,3099,10.0,0.0,2.0
