city_id,city_cn,number,background,incentive1,incentive2,area,pop,pred_number1,pred_number2,number_iv,env_lon,env_lat,centroid_lon,centroid_lat,cen_lat,cen_lon,disttocoast,GDP
2305.0,双鸭山,3.0,1.0,0.0,5.0,58.8,46.0,4.0,2.0,4.0,131.1409121,46.64127574623,131.73106743503655,46.63869204744526,46.646508,131.159133,909675.3,28964.0
2307.0,伊春,2.0,1.0,0.0,5.0,165.0,75.69,6.0,4.0,6.0,128.8662927694,47.71999704572,128.78208275697676,47.45913668837209,47.72753600000001,128.8411471,920454.5,20885.0
2308.0,佳木斯,4.0,1.0,0.0,5.0,98.08,60.0,4.0,4.0,4.0,130.36093951198126,46.80974488909139,131.09785733323704,46.947862486994254,46.799777,130.3188779,888652.44,32864.0
2309.0,七台河,2.0,1.0,0.0,5.0,67.77,36.6,4.0,2.0,4.0,131.00327163682246,45.76788504769655,130.89682897441867,45.79012971279071,45.79012971279071,130.89682897441867,823681.3,25123.0
2311.0,黑河,2.0,1.0,0.0,5.0,20.0,13.64,2.0,1.0,2.0,127.51462717373902,50.23416849320599,126.63983016144574,49.193930536144585,50.245129,127.528293,1116398.8,24731.0
2312.0,绥化,2.0,0.0,0.0,5.0,33.0,31.0,2.0,2.0,2.0,126.97330219398313,46.62831619471222,126.33837772142854,46.639054538311676,46.653845,126.968887,748009.44,21467.0
2327.0,大兴安岭地区,2.0,0.0,0.0,5.0,10.0,16.59,1.0,1.0,1.0,124.1211623,50.4274557,124.06593489999997,52.02214934000001,52.335262,124.711526,1063110.5,28291.0
3403.0,蚌埠,6.0,0.0,0.0,10.0,114.5,78.95,6.0,4.0,6.0,117.39593345841342,32.93938646380717,117.39205224311594,33.036220057065215,32.916287,117.389719,217510.33,35542.0
3404.0,淮南,5.0,1.0,0.0,10.0,102.0,106.05,6.0,6.0,6.0,117.00743918655935,32.6421508945901,116.83649338091108,32.69415769349239,32.625478,116.999932,246422.9,33361.0
3406.0,淮北,3.0,0.0,0.0,10.0,79.5,82.7,4.0,4.0,4.0,116.806332,33.973623,116.80903934732967,33.92947081104975,33.92947081104975,116.80903934732967,234161.05,35324.0
3407.0,铜陵,6.0,0.0,0.0,10.0,63.5,38.34,4.0,2.0,4.0,117.82149965982089,30.92296443632506,117.84209639302324,30.926521419767454,30.926521419767454,117.84209639302324,220574.62,97193.0
3408.0,安庆,3.0,1.0,0.0,10.0,81.0,62.0,4.0,4.0,4.0,117.08081892415889,30.51845505137856,116.7429541400327,30.658325633141907,30.531919,117.115101,296331.03,28808.0
3410.0,黄山,3.0,0.0,0.0,10.0,42.0,31.43,2.0,2.0,2.0,118.33420684963265,29.709195845339384,118.21740545892858,29.852813313616064,29.714699,118.337521,182946.28,37306.0
3411.0,滁州,3.0,0.0,0.0,10.0,77.49,34.23,4.0,2.0,4.0,118.3152284051022,32.29353197240088,118.37401120786642,32.49503432007231,32.25342500000001,118.328321,121869.76,30562.0
3412.0,阜阳,3.0,0.0,0.0,10.0,90.42,73.07,4.0,4.0,4.0,115.82012605243219,32.88820654870358,115.69742593391601,32.95461410151518,32.890479,115.814504,360108.75,15303.0
3413.0,宿州,3.0,0.0,0.0,10.0,67.0,44.67,4.0,2.0,4.0,116.95842269866925,33.6239786216967,117.19137679280126,33.80406106197185,33.646357,116.964358,238815.73,20895.0
3415.0,六安,4.0,0.0,0.0,10.0,67.5,37.15,4.0,2.0,4.0,116.50679656687545,31.740133243393426,116.4412177190293,31.7427984490421,31.7427984490421,116.4412177190293,296724.06,19211.0
3416.0,亳州,2.0,0.0,0.0,10.0,42.55,30.4,2.0,2.0,2.0,115.77310392770353,33.84665306995399,116.13742813056076,33.493939714313356,33.844582,115.778676,328728.16,17769.0
3417.0,池州,2.0,1.0,0.0,10.0,36.93,27.1,2.0,2.0,2.0,117.48107841030398,30.641727269519173,117.45359444209181,30.495349580102065,30.656037,117.489156,260329.39,36267.0
3418.0,宣城,3.0,0.0,0.0,10.0,38.0,20.77,2.0,1.0,2.0,118.75930466827424,30.9437943643701,118.97967382112107,30.80153716396395,30.940195,118.75868,156566.7,35726.0
3503.0,莆田,4.0,1.0,0.0,5.0,55.0,47.6,4.0,2.0,4.0,119.00305832804011,25.45687885565616,119.02372787806458,25.381354612258033,25.381354612258033,119.02372787806458,10785.982,52890.0
3504.0,三明,3.0,1.0,0.0,5.0,33.08,20.8,2.0,1.0,2.0,117.63604099910357,26.26833372441127,117.48432535472324,26.256325621794915,26.263406,117.638678,146040.53,64590.0
3506.0,漳州,2.0,1.0,0.0,5.0,56.44,38.64,2.0,2.0,2.0,117.6364739138327,24.517336675553576,117.6161144866005,24.362255075062,24.513025,117.647093,16616.064,50685.0
3507.0,南平,3.0,1.0,0.0,5.0,30.2,19.37,2.0,1.0,2.0,118.17000242720448,26.630393931768545,118.12799186312347,27.257922693307123,26.641774,118.17771,106608.63,47044.0
3508.0,龙岩,3.0,1.0,0.0,5.0,42.0,30.09,2.0,2.0,2.0,117.02119383353003,25.103517651755908,116.83192158189556,25.273459916439858,25.075123,117.017536,105097.766,62716.0
3509.0,宁德,2.0,1.0,0.0,5.0,25.3,18.03,2.0,1.0,2.0,119.53896950997209,26.66112303793614,119.71961793457533,27.015751692798947,26.665617,119.547932,423.44565,48369.0
3602.0,景德镇,4.0,1.0,0.0,5.0,75.39,46.59,4.0,2.0,4.0,117.2263,29.31705,117.18956513476707,29.187889513261638,29.187889513261638,117.18956513476707,298501.62,45438.0
3603.0,萍乡,4.0,1.0,0.0,5.0,59.0,39.77,4.0,2.0,4.0,113.86877636838189,27.64667617384874,113.87268096611305,27.617086455980083,27.617086455980083,113.87268096611305,499419.97,45867.0
3605.0,新余,4.0,1.0,0.0,5.0,70.0,44.41,4.0,2.0,4.0,114.89143097872879,27.83285204531224,114.88430843656712,27.809929088432845,27.809929088432845,114.88430843656712,456629.12,77730.0
3606.0,鹰潭,4.0,1.0,0.0,5.0,32.0,20.0,2.0,1.0,2.0,117.0562165446,28.26421168244,117.05634097802209,28.249438550000008,28.249438550000008,117.05634097802209,297740.7,53011.0
3607.0,赣州,4.0,1.0,0.0,5.0,89.02,51.88,4.0,4.0,4.0,114.9321278852069,25.825027949167502,115.17965056680511,25.66593207524206,25.830694,114.933546,312195.8,21708.0
3608.0,吉安,4.0,0.0,0.0,5.0,62.0,31.7,4.0,2.0,4.0,114.99023140633865,27.130872512966757,114.97021031357245,27.10294234071703,27.10294234071703,114.97021031357245,407817.88,25486.0
3609.0,宜春,4.0,1.0,0.0,5.0,60.0,41.89,4.0,2.0,4.0,114.41040749752555,27.820834357885218,115.10198539751237,28.22001141952732,27.815743,114.416785,499981.2,27764.0
3610.0,抚州,4.0,1.0,0.0,5.0,55.0,51.04,4.0,4.0,4.0,116.3508,27.95542,116.45008889731545,27.712156875788594,27.949217,116.358181,338007.62,26119.0
3611.0,上饶,3.0,1.0,0.0,5.0,31.0,37.95,2.0,2.0,2.0,117.9368698718508,28.45575871596091,117.62070279405003,28.663930448752396,28.454862,117.943433,245864.89,23221.0
4106.0,鹤壁,3.0,0.0,0.0,15.0,60.82,43.5,4.0,2.0,4.0,114.28520350572576,35.72232032840815,114.28902007463311,35.769122609224326,35.769122609224326,114.28902007463311,423482.53,42550.0
4107.0,新乡,4.0,0.0,0.0,15.0,110.0,75.7,6.0,4.0,6.0,113.91798751110028,35.304197552126894,114.01731673785773,35.259244491043425,35.259244491043425,114.01731673785773,479738.03,33699.0
4109.0,濮阳,4.0,0.0,0.0,15.0,51.0,42.1,4.0,2.0,4.0,115.03184756862889,35.763456312071284,115.27322141803042,35.84773307406383,35.761829,115.029215,373765.88,40195.0
4110.0,许昌,3.0,0.0,0.0,15.0,80.0,41.57,4.0,2.0,4.0,113.81520596443535,34.03627120615108,113.68314772714155,34.13124206621752,34.035771,113.852454,499089.34,48471.0
4111.0,漯河,4.0,0.0,0.0,15.0,60.0,55.27,4.0,4.0,4.0,114.00904899978529,33.576267684002545,113.97685155641031,33.6191689035503,33.6191689035503,113.97685155641031,493525.9,36671.0
4113.0,南阳,5.0,0.0,0.0,15.0,147.42,117.9,6.0,6.0,6.0,112.5274189,32.9959647,112.42717372486413,32.93100116752137,32.990664,112.528308,644379.3,26651.0
4114.0,商丘,4.0,0.0,0.0,15.0,62.0,96.3,4.0,4.0,4.0,115.65070149187788,34.416238397135494,115.705595776087,34.30716815230179,34.414961,115.656339,325822.75,23359.0
4115.0,信阳,4.0,0.0,0.0,15.0,77.2,45.8,4.0,2.0,4.0,114.09504112201938,32.126264524303025,114.88307388118915,32.11832509891896,32.147679,114.091192,518766.2,27490.0
4116.0,周口,4.0,0.0,0.0,15.0,60.0,28.4,4.0,2.0,4.0,114.6420777,33.6387607,114.84367960914531,33.693884830685924,33.626149,114.69695,435394.25,22651.0
4117.0,驻马店,3.0,0.0,0.0,15.0,65.0,42.84,4.0,2.0,4.0,114.01406507231067,32.97719953973605,114.19227571306226,32.96801330891009,33.011529,114.022298,515815.9,24461.0
4202.0,黄石,5.0,0.0,0.0,12.0,72.5,71.8,4.0,4.0,4.0,115.017183116359,30.195007412927588,114.9808420553663,30.10591677155025,30.20002999999999,115.038835,489893.7,49796.0
4203.0,十堰,3.0,1.0,0.0,12.0,65.6,47.0,4.0,2.0,4.0,110.7773859337289,32.65526699347881,110.7919702630673,32.54145876572768,32.54145876572768,110.7919702630673,811359.0,35604.0
4206.0,襄阳,4.0,0.0,0.0,12.0,116.0,108.0,6.0,6.0,6.0,112.13942998148255,32.05648789502313,112.09718457713122,32.06109118890396,32.06109118890396,112.09718457713122,703150.7,55924.0
4207.0,鄂州,3.0,0.0,0.0,12.0,47.0,40.11,2.0,2.0,2.0,114.898513237,30.37112134291,114.83416733693471,30.396170333417093,30.396170333417093,114.83416733693471,491192.6,57351.0
4208.0,荆门,4.0,0.0,0.0,12.0,53.189998626708984,40.47,4.0,2.0,4.0,112.20137421391503,31.048009893405446,112.56639098618166,31.01425162399999,31.035395,112.199427,712499.25,50678.0
4209.0,孝感,2.0,0.0,0.0,12.0,37.3,38.0,2.0,2.0,2.0,113.94330500670769,30.910583057987132,113.81329719741555,30.90191765129226,30.917766,113.957037,555228.9,27891.0
4211.0,黄冈,2.0,0.0,0.0,12.0,32.02,28.1,2.0,2.0,2.0,114.88815300080944,30.447381836715405,115.32567678491293,30.48437308027079,30.453667,114.872199,488488.03,23128.0
4212.0,咸宁,3.0,1.0,0.0,12.0,63.79,31.07,4.0,2.0,4.0,114.31087013592602,29.845484800760886,114.06963118282123,29.7566781587989,29.841438,114.322439,563199.75,38770.0
4213.0,随州,3.0,0.0,0.0,12.0,36.0,36.7,2.0,2.0,2.0,113.35885676458031,31.72742484291872,113.48109389513515,31.75019137333334,31.690215,113.382458,591568.25,33156.0
4228.0,恩施州,2.0,0.0,0.0,12.0,31.5,22.44,2.0,1.0,2.0,109.481528,30.274793,109.59111357727275,30.203605489572194,30.269381,109.486627,888578.0,28388.0
