city_id,monitor_id,year,month,day,pm25api,pm10api,AQI,pm25max,AQImax
4115.0,2054A,2015.0,3.0,1,55.916666666666664,77.77272727272727,78.833336,96.0,127.0
4115.0,2054A,2015.0,3.0,2,47.95652173913044,83.94736842105263,86.95652,175.0,225.0
4115.0,2054A,2015.0,3.0,3,77.9047619047619,164.0625,120.708336,106.0,252.0
4115.0,2054A,2015.0,3.0,4,21.695652173913043,91.30434782608695,70.86957,29.0,84.0
4115.0,2054A,2015.0,3.0,5,30.291666666666668,127.91666666666667,96.875,116.0,500.0
4115.0,2054A,2015.0,3.0,6,27.166666666666668,135.58333333333334,93.0,44.0,136.0
4115.0,2054A,2015.0,3.0,7,17.17391304347826,114.34782608695652,82.521736,29.0,98.0
4115.0,2054A,2015.0,3.0,8,16.52173913043478,128.47826086956522,89.478264,34.0,105.0
4115.0,2054A,2015.0,3.0,9,22.916666666666668,206.125,128.375,28.0,200.0
4115.0,2054A,2015.0,3.0,10,25.09090909090909,110.30434782608695,81.652176,57.0,117.0
4115.0,2054A,2015.0,3.0,11,71.4090909090909,112.5909090909091,96.27273,113.0,148.0
4115.0,2054A,2015.0,3.0,12,86.78571428571429,120.57142857142857,115.07143,101.0,133.0
4115.0,2054A,2015.0,3.0,13,71.33333333333333,98.28571428571429,95.875,119.0,156.0
4115.0,2054A,2015.0,3.0,14,206.125,260.4583333333333,256.125,254.0,304.0
4115.0,2054A,2015.0,3.0,15,201.08695652173913,255.82608695652175,251.08696,304.0,354.0
4115.0,2054A,2015.0,3.0,16,129.08695652173913,155.54545454545453,170.86957,169.0,219.0
4115.0,2054A,2015.0,3.0,17,99.04166666666667,168.4375,131.625,195.0,245.0
4115.0,2054A,2015.0,3.0,18,76.78260869565217,84.66666666666667,102.565216,108.0,142.0
4115.0,2054A,2015.0,3.0,19,89.21739130434783,116.14285714285714,118.26087,125.0,165.0
4115.0,2054A,2015.0,3.0,20,77.875,96.15,104.041664,96.0,127.0
4115.0,2054A,2015.0,3.0,21,57.52173913043478,102.78260869565217,83.478264,106.0,139.0
4115.0,2054A,2015.0,3.0,22,67.41666666666667,142.125,100.625,110.0,197.0
4115.0,2054A,2015.0,3.0,23,74.75,172.33333333333334,114.5,112.0,148.0
4115.0,2054A,2015.0,3.0,24,63.52173913043478,128.08695652173913,92.521736,92.0,122.0
4115.0,2054A,2015.0,3.0,25,52.291666666666664,115.29166666666667,83.875,61.0,131.0
4115.0,2054A,2015.0,3.0,26,70.0,98.79166666666667,96.708336,101.0,133.0
4115.0,2054A,2015.0,3.0,27,73.13636363636364,98.71428571428571,99.09091,101.0,133.0
4115.0,2054A,2015.0,3.0,28,75.76190476190476,105.17647058823529,101.7619,112.0,147.0
4115.0,2054A,2015.0,3.0,29,104.76190476190476,168.2,145.80952,157.0,299.0
