city_id,background,monitor_id,compare,year,month,pm25,pm25api,pm10api,AQI,pre,tem_mean,age_year
1405,1.0,2164A,0,2015.0,1.0,0.14173228,99.65062456866804,161.20142433653302,134.51906,7.9000000059604645,0.1516129,47.0
1405,1.0,2163A,0,2015.0,1.0,0.14173228,101.92456568793524,148.23475578769057,135.50642,7.9000000059604645,0.1516129,47.0
1405,1.0,2160A,0,2015.0,1.0,0.106299214,86.76719383273732,134.65032268054009,121.76657,7.9000000059604645,0.1516129,47.0
1405,1.0,2162A,0,2015.0,1.0,0.14173228,85.8993440741181,150.10860940229367,121.95931,7.9000000059604645,0.1516129,47.0
1405,1.0,2165A,1,2015.0,1.0,0.106299214,61.824285714285715,98.89392763034066,90.35723,7.9000000059604645,0.1516129,47.0
1405,1.0,2161A,0,2015.0,1.0,0.14173228,97.85902079804252,151.86034206068533,131.44568,7.9000000059604645,0.1516129,47.0
1405,1.0,2163A,0,2015.0,2.0,0.13976377,39.693416780587846,127.6063865815725,91.38439,5.600000083446503,2.3964286,47.0
1405,1.0,2164A,0,2015.0,2.0,0.13976377,51.65859683794468,98.20334850837571,82.195786,5.600000083446503,2.3964286,47.0
1405,1.0,2162A,0,2015.0,2.0,0.13976377,47.88597543760587,102.7057453416149,80.71084,5.600000083446503,2.3964286,47.0
1405,1.0,2165A,1,2015.0,2.0,0.10826772,54.7148327216262,113.31887138913537,88.79849,5.600000083446503,2.3964286,47.0
1405,1.0,2160A,0,2015.0,2.0,0.10826772,63.468091238471686,121.72449416525502,98.10912,5.600000083446503,2.3964286,47.0
1405,1.0,2161A,0,2015.0,2.0,0.13976377,49.24079498400149,98.33400049743219,79.77149,5.600000083446503,2.3964286,47.0
1405,1.0,2163A,0,2015.0,3.0,0.257874,36.395049877658565,110.51981829920115,82.41159,12.299999929964542,8.158065,47.0
1405,1.0,2160A,0,2015.0,3.0,0.3543307,60.310715348232875,105.63723505339917,89.74694,12.299999929964542,8.158065,47.0
1405,1.0,2161A,0,2015.0,3.0,0.257874,32.74259804010857,71.84257575917351,61.475117,12.299999929964542,8.158065,47.0
1405,1.0,2162A,0,2015.0,3.0,0.257874,53.10680684562355,112.19922038963063,89.89965,12.299999929964542,8.158065,47.0
1405,1.0,2164A,0,2015.0,3.0,0.257874,31.585046265095354,72.13175230566534,62.01696,12.299999929964542,8.158065,47.0
1405,1.0,2165A,1,2015.0,3.0,0.3543307,48.840645983626146,110.83544810248466,85.73174,12.299999929964542,8.158065,47.0
1405,1.0,2163A,0,2015.0,4.0,0.42322832,49.81003568958375,103.03688858881951,82.60525,72.69999861717224,13.623333,47.0
1405,1.0,2161A,0,2015.0,4.0,0.42322832,29.023706457539408,82.40810000957597,65.33492,72.69999861717224,13.623333,47.0
1405,1.0,2162A,0,2015.0,4.0,0.42322832,49.77349015020067,127.26051696527398,92.33992,72.69999861717224,13.623333,47.0
1405,1.0,2165A,1,2015.0,4.0,0.39566928,41.98748680889413,92.78242322640492,73.37704,72.69999861717224,13.623333,47.0
1405,1.0,2160A,0,2015.0,4.0,0.39566928,40.73941094438234,91.3190297028169,73.25928,72.69999861717224,13.623333,47.0
1405,1.0,2164A,0,2015.0,4.0,0.42322832,35.171699191350214,97.28059394161225,73.29891,72.69999861717224,13.623333,47.0
1405,1.0,2161A,0,2015.0,5.0,0.5098425,55.009282395958415,108.46439222711462,85.37146,49.80000055581331,19.032257,47.0
1405,1.0,2163A,0,2015.0,5.0,0.5098425,53.75593160941817,110.61419912936482,87.52006,49.80000055581331,19.032257,47.0
1405,1.0,2160A,0,2015.0,5.0,0.41535434,50.93818713622361,108.38547123750489,86.209,49.80000055581331,19.032257,47.0
1405,1.0,2164A,0,2015.0,5.0,0.5098425,49.002905687236165,108.93406434612605,83.511215,49.80000055581331,19.032257,47.0
1405,1.0,2165A,1,2015.0,5.0,0.41535434,60.61405347418672,104.66982462371664,88.59846,49.80000055581331,19.032257,47.0
1405,1.0,2162A,0,2015.0,5.0,0.5098425,52.952443952338776,115.18762352510969,87.56462,49.80000055581331,19.032257,47.0
1405,1.0,2165A,1,2015.0,6.0,0.3996063,53.48689588761099,94.0025057200954,81.07601,80.39999856054783,22.74,47.0
1405,1.0,2161A,0,2015.0,6.0,0.56299216,46.22304158782991,95.07542929388181,76.64053,80.39999856054783,22.74,47.0
1405,1.0,2160A,0,2015.0,6.0,0.3996063,39.655687374537486,101.7214675935557,79.83387,80.39999856054783,22.74,47.0
1405,1.0,2163A,0,2015.0,6.0,0.56299216,54.74634387351778,98.00900957184459,84.35814,80.39999856054783,22.74,47.0
1405,1.0,2162A,0,2015.0,6.0,0.56299216,43.40639535267681,91.02964555657918,77.598564,80.39999856054783,22.74,47.0
1405,1.0,2164A,0,2015.0,6.0,0.56299216,41.725992645480616,91.57833743614636,75.56905,80.39999856054783,22.74,47.0
1405,1.0,2164A,0,2015.0,7.0,0.33464566,57.46715838509317,125.94974635716837,91.582275,27.199999667704105,24.42258,47.0
1405,1.0,2161A,0,2015.0,7.0,0.33464566,59.01555692403188,130.8677863480056,92.55139,27.199999667704105,24.42258,47.0
1405,1.0,2160A,0,2015.0,7.0,0.4507874,60.04500154199128,119.28351163556079,90.27011,27.199999667704105,24.42258,47.0
1405,1.0,2163A,0,2015.0,7.0,0.33464566,49.006690621550156,104.66501709315628,81.28305,27.199999667704105,24.42258,47.0
1405,1.0,2165A,1,2015.0,7.0,0.4507874,56.53768891848464,113.5326200485294,85.3859,27.199999667704105,24.42258,47.0
