title,field,journal,year,language,links
"Mental Health Costs of Lockdowns: Evidence from Age-Specific Curfews in Turkey","Economics","AEJ: Applied","2024","","https://osf.io/jfzgq/, https://econpapers.repec.org/paper/zbwi4rdps/16.htm, https://osf.io/25u7b/, https://econpapers.repec.org/paper/zbwi4rdps/17.htm, https://www.openicpsr.org/openicpsr/project/131981/version/V1/view"
"Motivated Beliefs and Anticipation of Uncertainty Resolution","Economics","AER: Insights","2024","","https://osf.io/evt3a/, https://econpapers.repec.org/paper/zbwi4rdps/65.htm, https://www.openicpsr.org/openicpsr/project/139262/version/V1/view"
"Mortality, Temperature, and Public Health Provision: Evidence from Mexico","Economics","AEJ: Econ Policy","2024","","https://osf.io/q52e4/, https://econpapers.repec.org/paper/zbwi4rdps/90.htm, https://www.openicpsr.org/openicpsr/project/125201/version/V1/view"
"Motivated Errors","Economics","AER","2024","","https://osf.io/x29kf/, https://econpapers.repec.org/paper/zbwi4rdps/161.htm"
"Multinationals' Sales and Profit Shifting in Tax Havens","Economics","AEJ: Econ Policy","2024","","https://osf.io/3sbmr/, https://econpapers.repec.org/paper/zbwi4rdps/37.htm, https://www.openicpsr.org/openicpsr/project/148301/version/V1/view"
"Multiracial identity and political preferences","Political Science","JOP","2024","","https://osf.io/ecymu/, https://github.com/taylorjwright/r, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BLVJJH"
"Negativity drives online news consumption","Psychological Science","Nature Human Behaviour","2025","","https://osf.io/cyb24/, https://osf.io/7dwq5, https://osf.io/bfhdw/?view_only="
"News Shocks Under Financial Frictions","Economics","AEJ: Macro","2024","","https://osf.io/gmv6c/, https://econpapers.repec.org/paper/zbwi4rdps/51.htm, https://github.com/gionikola/replication-game-ucsd, https://www.openicpsr.org/openicpsr/project/130141/version/V1/view"
"Non-Linearities, State-Dependent Prices and the Transmission Mechanism of Monetary Policy","Economics","EJ","2024","","https://osf.io/kbwap/"
"Not All Elections Are Created Equal: Election Quality and Civil Conflict","Political Science","JOP","2024","","https://osf.io/unhkr/, https://drive.google.com/drive/folders/1Vlwfr3"
"Partisans’ receptivity to persuasive messaging is undiminished by countervailing party leader cues","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/encfj/"
"Parties as Disciplinarians: Charisma and Commitment Problems in Programmatic Campaigning","Political Science","AJPS","2024","","https://osf.io/v4bt7/, https://econpapers.repec.org/paper/zbwi4rdps/54.htm, https://osf.io/93gfx/?view, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AWSQTW"
"Patience, Risk-Taking, and Human Capital Investment Across Countries","Economics","EJ","2024","","https://osf.io/c45jb/, https://econpapers.repec.org/paper/zbwi4rdps/48.htm, https://osf.io/kgt8z/, https://www.openicpsr.org/openicpsr/project/153101/version/V2/view"
"Peer Effects in Academic Research: Senders and Receives","Economics","EJ","2024","","https://osf.io/czkgw/, https://zenodo.org/records/6457037"
"Playing Politics with Environmental Protection: The Political Economy of Designating Protected Areas","Political Science","JOP","2024","","https://osf.io/t76jd/, https://econpapers.repec.org/paper/zbwi4rdps/73.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi"
"Policy Deliberation and Voter Persuasion: Experimental Evidence from an Election in the Philippines","Political Science","AJPS","","",""
"Political Misinformation and Factual Corrections on the Facebook News Deed: Experimental Evidence","Political Science","JOP","2024","","https://osf.io/fzy8x/"
"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services","Economics","AER","2023","","https://osf.io/kv4pj/"
"Political Endorsement by Nature and Trust in Scientific Expertise During COVID-19","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/w9tyb/, https://econpapers.repec.org/paper/zbwi4rdps/175.htm"
"Politicians’ private sector jobs and parliamentary behavior","Political Science","AJPS","2025","","https://osf.io/pnk24/, https://ideas.repec.org/p/zbw/i4rdps/203.html"
