title,field,journal,year,language,links
"Student Performance, Peer Effects, and Friend Networks: Evidence from a Randomized Peer Intervention","Economics","AEJ: Econ Policy","2024","","https://osf.io/9hx3b/, https://www.openicpsr.org/openicpsr/project/149262/version/V2/view"
"Talking Shops: The Effects of Caucus Discussion on Policy Coalitions,","Political Science","AJPS","2024","","https://osf.io/tmfyj/, https://econpapers.repec.org/paper/zbwi4rdps/69.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi"
"Targeting High Ability Entrepreneurs Using Community Information: Mechanism Design in the Field","Economics","AER","2024","","https://osf.io/x4gdp/, https://econpapers.repec.org/paper/zbwi4rdps/49.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DI7RR9, https://www.openicpsr.org/openicpsr/project/151841/version/V1/view"
"Taste-Based Gender Favouritism in High-Stake Decisions: Evidence from The Price is Right","Economics","EJ","2024","","https://osf.io/5sv6m/, https://econpapers.repec.org/paper/zbwi4rdps/151.htm"
"Teaching Norms: Direct Evidence of Parental Transmission","Economics","EJ","2024","","https://osf.io/qnbfa/, https://zenodo.org/records/8114738, https://zenodo.org/records/7045559"
"Technological Change and the Consequences of Job Loss","Economics","AER","","","https://osf.io/qws2p/"
"The Arrival of Fast Internet and Employment in Africa","Economics","AER","2024","","https://osf.io/tdfge/, https://econpapers.repec.org/paper/zbwi4rdps/148.htm"
"The Association between Vaccination Status Identification and Societal Polarization","Psychological Science","Nature Human Behaviour","","","https://osf.io/ek7dy/files/osfstorage"
"The cost of anti-Asian racism during the COVID-19 pandemic","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/fk4eh/"
"The Curious Case of Theresa May and the Public That Did Not Rally: Gendered Reactions to Terrorist Attacks Can Cause Slumps Not Bumps","Political Science","APSR","2024","","https://osf.io/yh94t/, https://econpapers.repec.org/paper/zbwi4rdps/41.htm, https://doi.org/10.5683/SP3/6SYCML, https://econpapers.repec.org/paper/zbwi4rdps/44.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VHNPUO"
"The Dynamics and Spillovers of Management Interventions: Evidence from the Training within Industry Program","Economics","JPE","2024","","https://osf.io/mqcs3/, https://econpapers.repec.org/paper/zbwi4rdps/66.htm, https://github.com/cwestheide/i4r, https://www.journals.uchicago.edu/doi/suppl/10.1086/719277/suppl"
"The economic effects of long-term climate change: evidence from the Little Ice Age","Economics","JPE","","",""
"The effects of banking competition on growth and financial stability: Evidence from the national banking era","Economics","JPE","2024","","https://osf.io/437mv/, https://econpapers.repec.org/paper/zbwi4rdps/81.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BB864R, https://www.journals.uchicago.edu/doi/suppl/10.1086/717453/suppl"
"The Effects of Racial Diversity in Citizen Decision-Making Bodies","Political Science","JOP","2025","","https://osf.io/xqgru/, https://econpapers.repec.org/paper/zbwi4rdps/189.htm"
"The Evolution of Access to Public Accomodations in the United States","Economics","QJE","2024","","https://osf.io/jgksb/"
"The Geography of Repression and Opposition to Autocracy","Political Science","AJPS","2024","","https://osf.io/yehmx/, https://www.socialsciencereproduction.org/reproductions/789/published/index?step=4, https://github.com/pjesscarter/repression-replication, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi"
"The Heterogeneous Tax Pass-Through Under Different Vertical Relationships","Economics","EJ","2025","","https://osf.io/a5py6/"
"The Impact of Presidential Appointment of Judges: Montesquieu or the Federalists?","Economics","AEJ: Applied","2024","","https://osf.io/gesyq/, https://econpapers.repec.org/paper/zbwi4rdps/135.htm"
"The Labor Market Impacts of Universal and Permanent Cash Transfers: Evidence from the Alaska Permanent Fund","Economics","AEJ: Econ Policy","2024","","https://osf.io/qe8gn/, https://econpapers.repec.org/paper/zbwi4rdps/80.htm, https://osf.io/6atfw/, https://www.openicpsr.org/openicpsr/project/140121/version/V1/view"
"The Long-Term Effects of Measles Vaccination on Earnings and Employment","Economics","AEJ: Econ Policy","2024","","https://osf.io/jv7kx/, https://econpapers.repec.org/paper/zbwi4rdps/33.htm, https://osf.io/qxjnk/, https://www.openicpsr.org/openicpsr/project/138401/version/V1/view, https://michaelwiebe.com/assets/atwood/atwood_comment.pdf"
